Ano_Semestre,aluno_id,prova_1,prova_2,prova_3,prova_4,lista_1,lista_2,lista_3,lista_4,lista_5,lista_6,lista_7,lista_8,lista_9,media_lista,media_prova,media_geral,aprovado_ou_reprovado
2023.2,32,25,40,30,30,100,100,100,95,50,0,0,100,90,"70,56","31,25","50,90",Reprovado
2023.2,33,43,72,55,47,90,95,100,0,0,0,80,80,56,"55,67","54,25","54,96",Reprovado
2023.2,34,48,72,50,57,0,95,70,40,50,0,42,100,48,"49,44","56,75","53,10",Reprovado
2023.2,35,10,90,70,72,0,90,0,0,100,90,100,90,100,"63,33","60,5","61,92",Aprovado
2023.2,36,30,50,15,0,100,80,100,90,80,90,60,0,0,"66,67","23,75","45,21",Reprovado
2023.2,37,65,87,30,60,100,100,85,100,100,95,80,80,90,"92,22","60,5","76,36",Aprovado
2023.2,38,80,95,72,72,100,100,85,100,100,95,98,95,100,"97,00","79,75","88,38",Aprovado
2023.2,39,38,84,22,0,100,100,100,100,0,100,28,0,0,"58,67",36,"47,33",Reprovado
2023.2,40,58,92,75,75,100,100,100,100,100,80,100,95,100,"97,22",75,"86,11",Aprovado
2023.2,41,40,77,60,55,100,100,100,100,100,70,95,90,90,"93,89",58,"75,94",Aprovado
2023.2,42,20,22,10,0,100,80,100,60,80,80,50,0,0,"61,11",13,"37,06",Reprovado
2023.2,43,50,85,57,58,90,100,100,100,100,70,80,90,100,"92,22","62,5","77,36",Aprovado
2023.2,44,29,67,70,63,90,45,85,0,100,95,98,100,90,"78,11","57,25","67,68",Aprovado
2023.2,45,39,27,7,27,100,90,70,0,0,60,48,0,0,"40,89",25,"32,94",Reprovado
2023.2,46,41,55,68,37,90,70,85,90,0,70,0,90,0,"55,00","50,25","52,63",Reprovado
2023.2,47,71,82,70,85,90,100,100,100,95,90,95,100,95,"96,11",77,"86,56",Aprovado
2023.2,48,48,69,52,47,100,95,100,100,100,70,80,90,100,"92,78",54,"73,39",Aprovado
2024.1,49,61,70,70,72,90,98,100,100,98,90,100,90,95,86,68,77,Aprovado
2024.1,50,25,35,50,22,70,60,100,0,0,90,50,0,60,40,33,37,Reprovado
2024.1,51,58,77,75,93,90,95,90,40,0,0,100,90,60,53,76,64,Aprovado
2024.1,52,82,75,37,82,90,95,90,100,100,80,100,100,95,84,69,77,Aprovado
2024.1,53,95,70,97,90,95,100,95,95,100,90,100,90,95,85,88,87,Aprovado
2024.1,54,87,69,72,74,90,95,90,90,100,80,90,70,90,78,76,77,Aprovado
2024.1,55,95,58,44,67,90,90,100,100,100,90,70,80,95,81,66,73,Aprovado
2024.1,56,49,53,27,55,80,90,90,60,90,70,0,90,60,61,46,54,Reprovado
2024.1,57,42,70,60,85,100,95,100,100,100,98,80,90,95,84,64,74,Aprovado
2024.1,58,73,60,52,77,90,90,70,80,70,80,100,90,90,74,66,70,Aprovado
2024.1,59,70,55,62,80,70,70,60,70,0,80,80,100,70,59,67,63,Aprovado
2024.1,60,42,40,37,25,70,60,70,60,70,70,60,80,0,52,36,44,Reprovado
2024.1,61,42,55,57,60,85,95,60,70,70,95,60,100,90,71,54,62,Aprovado
2024.1,62,65,55,65,35,0,85,70,60,100,0,50,0,60,47,55,51,Reprovado
2024.1,63,26,70,55,51,85,90,0,100,0,100,70,100,95,62,51,56,Reprovado
2024.1,64,65,60,55,65,70,80,100,95,90,30,60,85,70,68,61,65,Aprovado
2024.1,65,73,73,77,67,90,98,100,100,98,90,100,90,98,86,73,79,Aprovado
2024.1,66,39,50,65,80,70,90,100,50,60,0,60,90,80,59,59,59,Reprovado
2024.1,67,49,20,50,57,80,70,85,70,60,90,0,100,70,61,44,52,Reprovado
2024.1,68,51,60,79,74,100,95,90,95,0,56,100,100,80,68,66,67,Aprovado
2024.1,69,85,72,20,5,100,98,90,40,0,30,30,40,0,36,46,41,Reprovado
2024.1,70,47,40,40,38,85,50,90,80,100,40,70,90,90,68,41,55,Reprovado
2024.1,71,82,80,70,75,90,100,80,95,70,90,100,90,95,80,77,78,Aprovado
2024.1,72,90,40,52,48,90,95,100,90,95,90,100,90,70,81,58,69,Aprovado
2024.2,73,90,90,47,70,100,100,50,0,95,80,90,100,95,68,74,71,Aprovado
2024.2,74,68,85,60,70,95,100,60,0,90,95,90,100,90,69,71,70,Aprovado
2024.2,75,30,80,20,20,100,90,80,85,95,80,80,90,90,77,38,57,Aprovado
2024.2,76,16,80,40,55,100,85,100,100,95,85,80,80,90,79,48,64,Aprovado
2024.2,77,93,85,45,55,95,85,90,70,85,80,90,90,85,75,70,72,Aprovado
2024.2,78,80,85,50,70,100,100,80,0,100,80,90,100,95,72,71,71,Aprovado
2024.2,79,78,80,62,64,100,100,80,0,100,0,90,95,90,62,71,66,Aprovado
2024.2,80,15,82,10,37,100,95,80,98,100,85,80,95,90,80,36,58,Aprovado
2024.2,81,47,85,35,15,100,100,80,85,95,75,90,90,0,68,46,57,Aprovado
2024.2,82,58,90,50,80,85,85,100,95,90,70,90,75,80,76,70,73,Aprovado
2024.2,83,14,65,30,42,100,0,80,78,90,0,80,100,90,58,38,48,Aprovado
2024.2,84,83,90,74,77,95,100,50,0,95,85,95,95,90,68,81,74,Aprovado
2024.2,85,45,90,25,60,100,90,80,98,95,70,80,100,90,78,55,67,Aprovado
2024.2,86,49,80,35,70,100,95,60,0,95,60,60,75,85,59,59,59,Aprovado
2024.2,87,47,75,45,62,100,100,50,98,0,0,85,90,0,47,57,52,Aprovado
2024.2,88,79,90,50,83,100,100,100,98,95,80,95,95,95,84,76,80,Aprovado
2024.2,89,24,40,32,10,95,90,80,100,95,90,50,100,90,77,27,52,Aprovado
2024.2,90,62,70,35,20,100,95,80,0,100,80,0,90,0,49,47,48,Aprovado
2024.2,91,85,92,45,65,100,95,100,100,100,0,100,95,95,76,72,74,Aprovado
2024.2,92,61,65,59,65,100,100,100,95,100,80,70,80,95,80,63,71,Aprovado
2024.2,93,88,90,75,80,100,95,80,100,95,100,100,100,95,85,83,84,Aprovado
2024.2,94,82,80,45,66,100,100,100,0,100,80,95,95,95,74,68,71,Aprovado
2024.2,95,42,80,55,77,85,100,80,0,95,95,95,90,95,72,64,68,Aprovado
2024.2,96,65,85,25,63,100,95,60,85,95,75,75,80,95,73,60,66,Aprovado
2024.2,97,5,66,0,45,90,90,70,80,95,70,70,80,90,72,29,50,Aprovado
2024.2,98,90,80,50,70,100,100,80,90,95,85,60,90,100,78,73,75,Aprovado
2024.2,99,93,92,55,85,100,100,100,100,100,100,95,95,100,88,81,85,Aprovado
2024.2,100,32,82,25,45,100,90,80,0,80,50,85,80,90,62,46,54,Aprovado
2024.2,101,10,70,35,50,100,90,80,0,85,95,0,90,90,59,41,50,Aprovado
2024.2,102,17,65,34,47,95,80,80,85,95,80,90,80,90,76,41,58,Aprovado
2024.2,103,20,54,37,70,98,95,100,0,0,70,50,90,90,55,45,50,Aprovado
